,security,security_name
0,WHL SJ Equity,Woolworths Holdings Ltd/South
1,S32 SJ Equity,South32 Ltd
2,AVI SJ Equity,AVI Ltd
3,BYI SJ Equity,Bytes Technology Group PLC
4,SRE SJ Equity,Sirius Real Estate Ltd
5,FFA SJ Equity,Fortress Real Estate Investmen
6,SPG SJ Equity,Super Group Ltd/South Africa
7,BVT SJ Equity,Bidvest Group Ltd/The
8,BTN SJ Equity,Burstone Group Limited
9,CSB SJ Equity,Cashbuild Ltd
10,PRX SJ Equity,Prosus NV
11,ANH SJ Equity,Anheuser-Busch InBev SA/NV
12,GRT SJ Equity,Growthpoint Properties Ltd
13,ITE SJ Equity,Italtile Ltd
14,HDC SJ Equity,Hudaco Industries Ltd
15,GND SJ Equity,Grindrod Ltd
16,HYP SJ Equity,Hyprop Investments Ltd
17,SNT SJ Equity,Santam Ltd
18,MTA SJ Equity,Metair Investments Ltd
19,NRP SJ Equity,NEPI Rockcastle NV
20,TCP SJ Equity,Transaction Capital Ltd
21,OMN SJ Equity,Omnia Holdings Ltd
22,RCL SJ Equity,RCL Foods Ltd/South Africa
23,GLN SJ Equity,Glencore PLC
24,EXX SJ Equity,Exxaro Resources Ltd
25,KRO SJ Equity,Karooooo Ltd
26,MTN SJ Equity,MTN Group Ltd
27,AFT SJ Equity,Afrimat Ltd
28,BHG SJ Equity,BHP Group Ltd
29,AFH SJ Equity,Alexander Forbes Group Holding
30,RDF SJ Equity,Redefine Properties Ltd
31,SSS SJ Equity,Stor-Age Property REIT Ltd
32,HMN SJ Equity,Hammerson PLC
33,CPI SJ Equity,Capitec Bank Holdings Ltd
34,MSP SJ Equity,MAS P.L.C.
35,RBX SJ Equity,Raubex Group Ltd
36,CFR SJ Equity,Cie Financiere Richemont SA
37,THA SJ Equity,Tharisa PLC
38,MTH SJ Equity,Motus Holdings Ltd
39,FFB SJ Equity,Fortress Real Estate Investmen
40,FTB SJ Equity,Fairvest Ltd
41,AIP SJ Equity,Adcock Ingram Holdings Ltd
42,ATT SJ Equity,Attacq Ltd
43,TRU SJ Equity,Truworths International Ltd
44,MKR SJ Equity,Montauk Renewables Inc
45,HAR SJ Equity,Harmony Gold Mining Co Ltd
46,AEL SJ Equity,Altron Ltd
47,IMP SJ Equity,Impala Platinum Holdings Ltd
48,OCE SJ Equity,Oceana Group Ltd
49,NPH SJ Equity,Northam Platinum Holdings Ltd
50,TGA SJ Equity,Thungela Resources Ltd
51,LTE SJ Equity,Lighthouse Properties plc
52,AFE SJ Equity,AECI Ltd
53,NY1 SJ Equity,Ninety One Ltd
54,ABG SJ Equity,Absa Group Ltd
55,N91 SJ Equity,Ninety One PLC
56,ARI SJ Equity,African Rainbow Minerals Ltd
57,SLM SJ Equity,Sanlam Ltd
58,AMS SJ Equity,Anglo American Platinum Ltd
59,REM SJ Equity,Remgro Ltd
60,SPP SJ Equity,SPAR Group Ltd/The
61,SAP SJ Equity,Sappi Ltd
62,SOL SJ Equity,Sasol Ltd
63,SBK SJ Equity,Standard Bank Group Ltd
64,MCG SJ Equity,MultiChoice Group
65,TFG SJ Equity,Foschini Group Ltd/The
66,HCI SJ Equity,Hosken Consolidated Investment
67,ANG SJ Equity,Anglogold Ashanti Plc
68,INL SJ Equity,Investec Ltd
69,SUI SJ Equity,SUN INTERNATIONAL LTD
70,ARL SJ Equity,Astral Foods Ltd
71,APN SJ Equity,Aspen Pharmacare Holdings Ltd
72,JSE SJ Equity,JSE Ltd
73,OMU SJ Equity,Old Mutual Ltd
74,TXT SJ Equity,Textainer Group Holdings Ltd
75,MTM SJ Equity,Momentum Metropolitan Holdings
76,FSR SJ Equity,FirstRand Ltd
77,TBS SJ Equity,Tiger Brands Ltd
78,RNI SJ Equity,Reinet Investments SCA
79,WBO SJ Equity,Wilson Bayly Holmes-Ovcon Ltd
80,DCP SJ Equity,Dis-Chem Pharmacies Ltd
81,PIK SJ Equity,Pick n Pay Stores Ltd
82,PPC SJ Equity,PPC Ltd
83,PPH SJ Equity,Pepkor Holdings Ltd
84,RLO SJ Equity,Reunert Ltd
85,NTC SJ Equity,Netcare Ltd
86,RES SJ Equity,Resilient REIT Ltd
87,TSG SJ Equity,Tsogo Sun Limited
88,SHC SJ Equity,Shaftesbury Capital PLC
89,SHP SJ Equity,Shoprite Holdings Ltd
90,MRP SJ Equity,Mr Price Group Ltd
91,BLU SJ Equity,Blue Label Telecoms Ltd
92,BAT SJ Equity,Brait PLC
93,CML SJ Equity,Coronation Fund Managers Ltd
94,MNP SJ Equity,Mondi PLC
95,OUT SJ Equity,OUTsurance Group Ltd
96,CLS SJ Equity,Clicks Group Ltd
97,TKG SJ Equity,Telkom SA SOC Ltd
98,KST SJ Equity,PSG Financial Services Ltd
99,NED SJ Equity,Nedbank Group Ltd
100,COH SJ Equity,Curro Holdings Ltd
101,EMI SJ Equity,Emira Property Fund Ltd
102,LHC SJ Equity,Life Healthcare Group Holdings
103,VOD SJ Equity,Vodacom Group Ltd
104,BID SJ Equity,Bid Corp Ltd
105,DSY SJ Equity,Discovery Ltd
106,BAW SJ Equity,Barloworld Ltd
107,SSW SJ Equity,Sibanye Stillwater Ltd
108,DRD SJ Equity,DRDGOLD Ltd
109,SAC SJ Equity,SA Corporate Real Estate Ltd
110,AGL SJ Equity,Anglo American PLC
111,KIO SJ Equity,Kumba Iron Ore Ltd
112,SSU SJ Equity,Southern Sun Ltd
113,AIL SJ Equity,African Rainbow Capital Invest
114,KAP SJ Equity,KAP Ltd
115,DTC SJ Equity,DataTec Ltd
116,FBR SJ Equity,Famous Brands Ltd
117,QLT SJ Equity,Quilter PLC
118,EQU SJ Equity,Equites Property Fund Ltd
119,ADH SJ Equity,Advtech Ltd
120,BTI SJ Equity,British American Tobacco PLC
121,PAN SJ Equity,Pan African Resources PLC
122,INP SJ Equity,Investec PLC
123,NPN SJ Equity,Naspers Ltd
124,VKE SJ Equity,Vukile Property Fund Ltd
125,GFI SJ Equity,Gold Fields Ltd
